カード,point,キーワード
愚者(正位置),"崖の上にいる彼。 足もとでは白い犬が 「危ない!」と止めているのか、それとも追 い立てているのかわかりませんが、 彼自身は上しか見ていなくて、一歩先には転 落が待ち受けているのにも気づかない様子。 まさに、愚か者。 でもこのカード、そ のものズバリの言葉どおりではなくもっと奥深いのです!危険かどうかは進んでみなければわからない、でも取りあえず前に進み始める。 そんなエネルギーが生まれた瞬間を表します。
","無意識 / 自由 / 直感 / 大胆/ 無限の可能性 / 出発 / 素直 / 若さ / 旅人/ボーダーレス
"
魔術師(正位置),"堂々と右腕にバトンを掲げ、 左手は下を指し示す。 頭の上には無限大マーク「∞」(インフィニティまたはメビウスリング)を載せています。机の上には棒・金貨・剣・聖())=火・地・風水の四大元素を表すすべての道具がそろっており、 錬金術の象徴です。このカードが出たときは、 創造性、 物事の具体的な始まり、 向上心、 愛の芽生えな ど、患者に比べて着実にスタートしている状態を表します。
","クリエイティブ/ 具体的なスタート / 創造 / 超意識 / 独自性 / 才能 / 器用 / 恋のはじまり
"
女教皇(正位置),"どこか冷徹な目を向けている女教皇は、 陰陽の特性を表す柱の前に鎮座し、 そ の懐に神秘の英知を記した書物を抱えています。 この書物は限られた者にしか 開示しないのです。日輪とも満月とも見える冠と足もとには大きな三日月。 神秘性を表す要素が満載 です! このカードが出たときは、インスピレーション、霊感、 理知的、 冷徹、常 識、プラトニックラブ。 そんな状態を表します。
","知性 / 真理 / 聡明 / 良識/ 清純 / 観察 / 理論 / スピリチュアル / 霊感 / プラトニックラブ
"
女帝(正位置),"豊穣の作物に豊かな自然。 女帝がゆったりと優雅に座っている足もとの盾には 女性 (金星) を表すフェミニンマークが。 女帝はこのあと出てくる皇帝の妃という 立場。 結婚している女性を表すことから慈愛や女性性を表すカードです。 妊婦に も見えます。 聖母マリアを象徴するのにしばし12の星が頭上に描かれますが、こ の女帝も冠に12の星をあしらっています。 このカードが出たときは、 幸福、 満ち足 りた状態、家庭、 安らぎ、結婚に結びつく恋というような状態を表します。
",女性的幸運 / 愛 / 慈愛 / 収穫 母性 / 成熟した女性 / 豊穣 / 妊娠 / 家庭 / 豊かな心
皇帝(正位置),朽ちることのない石座に鎮座し、威厳を持って見下ろす皇帝は男性性の象徴。 右手には古代エジプトの 「生命の鍵」 であるアンクの形の杓を持ち、左手には物 質を象徴する玉を持ってすべてを掌握しているようです。カードの背景は緑一つ生えていない険しい山脈。 周りに人影はなく、この寂しい 絵柄からは王者の孤独がにじみ出ているよう。このカードが出たときは、 行動力、 能力に秀でる、金銭を掌握、 攻撃、 真剣な恋愛。 そんな状態を表します。,"ビジネスの成功 / 実行 / 建設 /ビジョン / 父性 / 行動力 / カリスマ / 権力の最高峰 / 社長
"
法王(正位置),"慈悲と威厳に満ちたまなざしで二人の聖職者に教義する教皇。 右手は神の祝福 を表し、左手は「霊」を象徴する三重十字架。 頭にも三重冠をかぶっています。 「教皇」 の力が (キリスト教三位一体などの) 人間の精神・肉体・魂に及んでいる ことを表し、足もとにある2つの鍵は教皇が天国への扉を開くことができることを 意味します。 神の存在と精神性を象徴するこのカードが出たときは、信仰、魅力 的な人柄、指導力、周りの人を助ける、慎重な恋を表します。
","慈悲 / 全体への援助 / 親切/ 保守 / 維持 / 伝統的 / 友愛 / 正当性 / 宗教の最高峰/教育
"
恋人(正位置),りんごの樹にヘビが巻き付き、 アダムとイブを思わせる男女が天使に祝福され ています。 ヘビがいるのは女性側というのも興味深いですね。 両思いかと思い きや、女性はこの人でいいか、決めかねている様子。 このカードはパートナーの 象徴でありながら、 「優柔不断」も同時に表します。 カードの意味は明白なのに、 どこか意味深です。 このカードが出たときは、 恋のチャンス、 選択すべき時、二面 性、 優柔不断、 友情からの恋。 そんな状態を表します。,"恋愛 / 取捨選択 / SNS / 行動決定 / パートナーシップ /直感によるチョイス/共鳴 / SEX
"
戦車(正位置),"陰陽を表すスフィンクスを引き連れて戦場に向かう若きプリンス。 彼はスフィン クスをも打ち負かして従えさせた、 知恵と勇気の持ち主です。若さにあふれた彼 の行動範囲は広く、移動距離が多いほど成功へとつながるのです。勝利を表す兜の星、 行動力を表すバトンを右手に握り、前方しか見ていないプ リンスからは自信と勝利の確信が見て取れます。 このカードは、 克服、 別の世界 に進出、発展、 移動、 スピーディな恋愛。 そんな状態を表します。
","勝利 / 征服 / 行動 / 努力/ 克服 / 自立心 / 海外 / 若さ / 開拓精神 / 移動 / スピード
"
力(正位置),"ライオンを手なずける女性の頭の上には無限大を表すマークがあります。 ライオ ンはダイヤモンドを咥えていて、この女性はこのダイヤを口元から取るチャンス をうかがっているという説も。 その行いに必要なのは、 勇気と集中力。 奇跡はそ の精神力によって起こすことができることを示しています。 そのため、別名「奇跡 のカード」とも呼ばれています。 感情と理性のバランスが取れている、 情熱的、 積 極的、 自立、本能的に合う恋愛。 そんな状態を表します。
","奇跡 / 勇気 / 決意 / 意志 / 信念 / 本能 ・理性・感情の統合 絶好のタイミング / シンクロ
"
隠者(正位置),"六芒星の入ったランタンを持つ、孤独な老人が描かれています。 何もない白い 荒野にたたずむその姿は、まさに孤高の人。 すべての物事に精通し、経験を積 んだからこそ自ら孤独でいることを望んでいるのです。 しかし、見込んだ人間に はすべてを与えようと行動する性質も持っており、 次の世代にその知恵をつなげ ようとするのです。 このカードが出たときは、 自分自身をじっくり見つめる、フィク サー、密かに進める計画、有能、 秘密のある恋愛を表します。
","真理 / 思慮 / 探究 / 内的回帰 / 熟慮 / 老人 / マスター / フィクサー / 大人の恋 / ロジック
"
運命の輪(正位置),"車輪は永遠にまわり続けます。 今は頂上に君臨し、剣をかざしているスフィンク スもいつかは下に行きます。 運命はこの繰り返し。 四隅には 「有翼のライオン/ 「火」 「有翼の牡牛/地」 「天使/風」 「鷲/水」 がいて、みんなのんびりと本を読 んでいます。 四隅の生物は4つのエレメントや方位など不変を表し、 まわるは人 の運命ばかりと言われているかのよう。 このカードは、 急激な変化、 運が向いてく る、転換期、運命的な出会い。 そんな状態を表します。
","新しい局面 / 運命の好転 / イメージチェンジ / 節目 / 転換期 /運命の相手 / 連絡がくる
"
正義(正位置),"右手に剣を掲げ、 左手に天秤を持つ人物が描かれています。 右手の剣は大天使 ミカエルが手にする断罪の剣、 左手の天秤はアルテミスの神話に由来する公正 な裁きの天秤がモチーフと言われています。 正義を貫く強いまなざしでこのカー ドの威厳を強く象徴しているのでしょう。 タロットで「赤い衣服」はその地位にお ける最高位を示す衣類です。 このカードが出たときは、公明正大、法律、権利の 行使、 平和的、 誠実な恋愛。 そんな状態を表します。
","公平 / 清算 / 勝訴 / 決着の必要性 / オフィシャルな恋 / 愛 / 契約 / 法の最高権力者
"
吊られた男(正位置),"この男性はなぜ吊るされているの? 罪を犯して罰を受けたから? いえいえ。 この男性は誰かのために吊るされているとか、儀式の生贄になったなど、 諸説あ ります。 でもこの男性の頭には小さく後光が射し、顔に苦渋の表情は見られませ ん。 今は苦しくとも、必ず光は見えると教えてくれているような気がしませんか? このカードが出たときは、自己犠牲、 今は動いてもうまくいかない、 時機を待つ、 身動きができない恋。 そんな状態を表します。
","報われる苦労 /魂の成長の試練 / 自己犠牲の心を学ぶ / 損して得とる / 成果はまだ先
"
死神(正位置),"タロットカードの世界において左側は過去。 右側は未来です。 白馬は未来に向 かって歩き、旗は風向きに逆らって未来に旗めいている。 白い馬が進む先の人 たちは皆生きていますが、 通り過ぎたあとの人は死んでいます。 そこには王様も。 これは、どんな人の未来にも平等に、 必ず死は訪れることを意味しています。 人 の世のことわりを表現するこのカードは、 実は永遠をも意味するのです。 終わりを 迎える、活動停止、 すっぱりと諦めたほうが得、別離や離婚を表します。
","死 / 終末 / 停止 / 永遠 /世のことわり / 不思議な力 / 失恋 / リセット / 離婚 / 孤立
"
節制(正位置),"大きな羽を左右に広げ、手に持った2つの聖杯に水を行き来させています。 片方 の足は大地に、もう片方は水面に。 すべての物事はバランスと調和から成り立つ ことを象徴しています。 対になる2つの杯の中身は男性性と女性性、陰と陽、火と 水、霊と肉、意識と無意識という相反する要素を象徴すると言われ、 翼のある人 物はそれらを結びつける 「仲介者」、 大天使ミカエルであると言われています。 穏やか 倹約、 けじめのある付き合い、 純愛という状態を表します。
","完璧なバランス/完全調和 / 順応 /コントロール/ウィンウィン/ 平和な家庭 / 中庸 / 純愛
"
悪魔(正位置),"コウモリのような翼を広げた悪魔のもとには鎖につながれた裸体の男女。 二人の頭には角が生えかけ、 眷属とも人間の象徴とも取れます。 この二人の首をつなぐ 鎖はゆるめに垂れ下がり、簡単にふりほどけそうに見えます。 しかし、いつの世も 背徳の誘惑にはまってしまう者たちは、みずからその場を離れない、離れられな いということなのでしょうか。 このカードが出たときは、誘惑に弱い、 野心、 利己主 義、腐れ縁、 堕落した生活。 そんな状態を表します。
","欲望 / 呪縛 / 束縛 / 誘惑 / 肉欲 / 暴力 / 拘束 / 堕落 / 悪環境 / 犯罪 / 打算的 / 野心
"
塔(正位置),"神に並ぶがごとく、人の手で高く積みあげられた塔。 おごりたかぶった人間に神 の鉄槌である雷が落とされています。 突然のできごとになすすべもなく落ちてゆ く人々。 逃げ惑う時間すら与えてはもらえないのです。
このカードが出たときは、 突然のトラブル、事故、 半強制的な変化、 隠された恋愛 の露見。 そんな状態を表します。
","破壊 / 崩壊 / 破局 / 災害 / リバウンド / 基盤の崩壊 / 事故 /天変地異 / ゼロスタート
"
星(正位置),"水瓶を持った女神の上には、光り輝く大きな明けの明星。 星が指し示すものは希 望です。 ひときわ輝く星の周りに、さらに7つの星。 天地創造に費やした7日間 1 週間を構成する7日間。 7で完成する宇宙の周期、 それは、人が操ることのできな い生命エネルギーの周期を象徴しています。 ただ、 星ははるか遠くで輝くもので あることから、このカードは時間の経過を必要とする場合が多いとも。 新しい価 値観、 美、 理想の相手と巡り合う。 そんな状態を表します。
","希望 / 理想 / 可能性の開花 / 啓示 / 時間はかかるが成功する / 新しい発見 / ビューティー
"
月(正位置),"月はたしかに存在するのに、 地球から見ると満ちたり欠けたりして見えます。普 遍のものが安心の象徴だとしたら、 変化する月に不安を感じるのは自然なこと。 夜にうごめく生き物たちが力を得るのは月の光から。 古代において犬は病気を、 ジャッカルは死を、 蠍は不吉をもたらす象徴だった時期があります。 でも、朝に なればその生き物たちも寝床に帰って姿を消すのです。 このカードは、不安や不 満、水面下で進む悪い状況、 人間関係の不和、偽りの愛を表します。
","不安 / 秘密 / 危険性 / 勘が働かない / 嘘 / 裏切り / 主体性の欠如 / 徐々に悪くなる
"
太陽(正位置),"燦々と輝く太陽に情熱の赤い旗を掲げ、 白い馬にまたがる元気な子ども。 ひまわ りもたくさん咲いています。 太陽には大きな人面。 赤い羽根を頭に乗せて赤い 旗を持つこの子どもは、錬金術においての 「賢者の石」 を指し示す説もあり、その 場合、この子はキリストという位置づけにも取れます。このカードが出たときは、 幸福、 恵まれた運命、 あふれる活気、 相思相愛、 子宝に 恵まれる。 そんな状態を表します。
",幸福 / 陽性 / 光 / 活力 / 満足 /表舞台/子ども/成功/ 音楽 満ち足りた精神 / 公な状況
審判(正位置),"このカードは、良くも悪くも決断を意味することが多い。 同じことを繰り返して時 間を無駄にしている時。 チャンスをものにしようとしている時。 思い切った行動を するべき時。 天使が神々しくラッパを鳴らし 「今だよ!」と教えてくれるのです。 そ こに反応できない場合は、 容赦なく置いてけぼりをくらう厳しさをもひそんでいま す。 このカードは、復活する、 チャンスが訪れる、諦めていたことがもう一度日の目 を見る、目覚めるといった状態を表します。
",復活 / 目覚め / 認証 / 勝利/ 決着 / 意識改革 / 最大のチャンス 決断の時 / 神の誘導
世界(正位置),"大アルカナの終着点は 「世界」。 月桂樹の輪を取り囲む四隅にはライオン・牛・ 天使・鷲 (火・地・風水) の四大元素が表記され、途切れることのない月桂樹の 輪の中にバトンを持った女性 (中性) 像。 次へのバトンを意味する輪廻とも言わ れています。 つまり、このカードは終わりではなく、 また次の高次元へのスタートで もあるのです。完成する、 満足する、 完璧になる、 幸運に恵まれる、完成を見る、目 的を達成できる、 病気が回復する。 そんな状態を表します。
",完成 / 統合 / 達成/ 成就 / 完了 / 輪廻 / 広い世界に出る / 外界 / 最高潮 / 異次元 / 海外
愚者(逆位置),"崖の上にいる彼。 足もとでは白い犬が 「危ない!」と止めているのか、それとも追 い立てているのかわかりませんが、 彼自身は上しか見ていなくて、一歩先には転 落が待ち受けているのにも気づかない様子。 まさに、愚か者。 でもこのカード、そ のものズバリの言葉どおりではなくもっと奥深いのです!危険かどうかは進んでみなければわからない、でも取りあえず前に進み始める。 そんなエネルギーが生まれた瞬間を表します。
","非常識 / 無責任 / 放浪癖 / 無知/ 気まま / 浮気症 / 無計画 / 無謀な挑戦/基礎力不足
"
魔術師(逆位置),"堂々と右腕にバトンを掲げ、 左手は下を指し示す。 頭の上には無限大マーク「∞」(インフィニティまたはメビウスリング)を載せています。机の上には棒・金貨・剣・聖())=火・地・風水の四大元素を表すすべての道具がそろっており、 錬金術の象徴です。このカードが出たときは、 創造性、 物事の具体的な始まり、 向上心、 愛の芽生えな ど、患者に比べて着実にスタートしている状態を表します。
","センスがない / 想像力不足 / 遊び人 ずる賢い / 技術不足 スランプ/アイデアの欠如
"
女教皇(逆位置),"どこか冷徹な目を向けている女教皇は、 陰陽の特性を表す柱の前に鎮座し、 そ の懐に神秘の英知を記した書物を抱えています。 この書物は限られた者にしか 開示しないのです。日輪とも満月とも見える冠と足もとには大きな三日月。 神秘性を表す要素が満載 です! このカードが出たときは、インスピレーション、霊感、 理知的、 冷徹、常 識、プラトニックラブ。 そんな状態を表します。
","偏見 / ヒステリック / 屁理屈 /KY / 高飛車 / 色気がない コンサバティブ /潔癖 / 独り身
"
女帝(逆位置),"豊穣の作物に豊かな自然。 女帝がゆったりと優雅に座っている足もとの盾には 女性 (金星) を表すフェミニンマークが。 女帝はこのあと出てくる皇帝の妃という 立場。 結婚している女性を表すことから慈愛や女性性を表すカードです。 妊婦に も見えます。 聖母マリアを象徴するのにしばし12の星が頭上に描かれますが、こ の女帝も冠に12の星をあしらっています。 このカードが出たときは、 幸福、 満ち足 りた状態、家庭、 安らぎ、結婚に結びつく恋というような状態を表します。
","いじわる / 過保護 / 虚栄心 / 物欲 / 家庭不破 / 毒親 / 離婚/ 嫉妬 / ルーズ / 嘘
"
皇帝(逆位置),朽ちることのない石座に鎮座し、威厳を持って見下ろす皇帝は男性性の象徴。 右手には古代エジプトの 「生命の鍵」 であるアンクの形の杓を持ち、左手には物 質を象徴する玉を持ってすべてを掌握しているようです。カードの背景は緑一つ生えていない険しい山脈。 周りに人影はなく、この寂しい 絵柄からは王者の孤独がにじみ出ているよう。このカードが出たときは、 行動力、 能力に秀でる、金銭を掌握、 攻撃、 真剣な恋愛。 そんな状態を表します。,"支配 / ワンマン / 自分勝手 / 独占欲 / 強引 / 自信喪失 / 傲慢 / 頑固 / 過信 / 降格 / 権力欲
"
法王(逆位置),"慈悲と威厳に満ちたまなざしで二人の聖職者に教義する教皇。 右手は神の祝福 を表し、左手は「霊」を象徴する三重十字架。 頭にも三重冠をかぶっています。 「教皇」 の力が (キリスト教三位一体などの) 人間の精神・肉体・魂に及んでいる ことを表し、足もとにある2つの鍵は教皇が天国への扉を開くことができることを 意味します。 神の存在と精神性を象徴するこのカードが出たときは、信仰、魅力 的な人柄、指導力、周りの人を助ける、慎重な恋を表します。
","お節介 / 真面目すぎ / 贅沢三昧 / 八方美人 / 孤立無援 / 鈍感 / 怠慢 / 同情心 / 助けがない
"
恋人(逆位置),りんごの樹にヘビが巻き付き、 アダムとイブを思わせる男女が天使に祝福され ています。 ヘビがいるのは女性側というのも興味深いですね。 両思いかと思い きや、女性はこの人でいいか、決めかねている様子。 このカードはパートナーの 象徴でありながら、 「優柔不断」も同時に表します。 カードの意味は明白なのに、 どこか意味深です。 このカードが出たときは、 恋のチャンス、 選択すべき時、二面 性、 優柔不断、 友情からの恋。 そんな状態を表します。,"二面性 / 浮気 / 別離 / 二股 / 飽きっぽいコミュ障 /離婚 / 選択できない
"
戦車(逆位置),"陰陽を表すスフィンクスを引き連れて戦場に向かう若きプリンス。 彼はスフィン クスをも打ち負かして従えさせた、 知恵と勇気の持ち主です。若さにあふれた彼 の行動範囲は広く、移動距離が多いほど成功へとつながるのです。勝利を表す兜の星、 行動力を表すバトンを右手に握り、前方しか見ていないプ リンスからは自信と勝利の確信が見て取れます。 このカードは、 克服、 別の世界 に進出、発展、 移動、 スピーディな恋愛。 そんな状態を表します。
","自信過剰 / 勝負に負ける/カ不足/ 最悪なタイミング / 未熟 /オレ様 / 失敗 / 無気力
"
力(逆位置),"ライオンを手なずける女性の頭の上には無限大を表すマークがあります。 ライオ ンはダイヤモンドを咥えていて、この女性はこのダイヤを口元から取るチャンス をうかがっているという説も。 その行いに必要なのは、 勇気と集中力。 奇跡はそ の精神力によって起こすことができることを示しています。 そのため、別名「奇跡 のカード」とも呼ばれています。 感情と理性のバランスが取れている、 情熱的、 積 極的、 自立、本能的に合う恋愛。 そんな状態を表します。
","不運 / 過信 / 見栄っ張り / 怠惰 権力乱用 / 中傷 / 逆境 / 苦難 / 勇気がない / 乱暴な恋
"
隠者(逆位置),"六芒星の入ったランタンを持つ、孤独な老人が描かれています。 何もない白い 荒野にたたずむその姿は、まさに孤高の人。 すべての物事に精通し、経験を積 んだからこそ自ら孤独でいることを望んでいるのです。 しかし、見込んだ人間に はすべてを与えようと行動する性質も持っており、 次の世代にその知恵をつなげ ようとするのです。 このカードが出たときは、 自分自身をじっくり見つめる、フィク サー、密かに進める計画、有能、 秘密のある恋愛を表します。
","偏屈 引きこもり / 権力の偏り / 批判的 / 不倫 / 頑固オヤジ/ 過敏 /苦労 / 神経過敏 / 秘密
"
運命の輪(逆位置),"車輪は永遠にまわり続けます。 今は頂上に君臨し、剣をかざしているスフィンク スもいつかは下に行きます。 運命はこの繰り返し。 四隅には 「有翼のライオン/ 「火」 「有翼の牡牛/地」 「天使/風」 「鷲/水」 がいて、みんなのんびりと本を読 んでいます。 四隅の生物は4つのエレメントや方位など不変を表し、 まわるは人 の運命ばかりと言われているかのよう。 このカードは、 急激な変化、 運が向いてく る、転換期、運命的な出会い。 そんな状態を表します。
","急激に悪くなる変化 / 変革の失敗 / 逆転敗訴 / 不運 / 変化がない
"
正義(逆位置),"右手に剣を掲げ、 左手に天秤を持つ人物が描かれています。 右手の剣は大天使 ミカエルが手にする断罪の剣、 左手の天秤はアルテミスの神話に由来する公正 な裁きの天秤がモチーフと言われています。 正義を貫く強いまなざしでこのカー ドの威厳を強く象徴しているのでしょう。 タロットで「赤い衣服」はその地位にお ける最高位を示す衣類です。 このカードが出たときは、公明正大、法律、権利の 行使、 平和的、 誠実な恋愛。 そんな状態を表します。
","不公平 / 不満がつのる / 不摂生/ ずるいことをする / 失望 / 冷たい / 人情の無い判断/敗訴
"
吊られた男(逆位置),"この男性はなぜ吊るされているの? 罪を犯して罰を受けたから? いえいえ。 この男性は誰かのために吊るされているとか、儀式の生贄になったなど、 諸説あ ります。 でもこの男性の頭には小さく後光が射し、顔に苦渋の表情は見られませ ん。 今は苦しくとも、必ず光は見えると教えてくれているような気がしませんか? このカードが出たときは、自己犠牲、 今は動いてもうまくいかない、 時機を待つ、 身動きができない恋。 そんな状態を表します。
","弱まる理性 / まったく無駄に終わる 自己犠牲 / 徒労 / 利用される / 尽くしすぎる
"
死神(逆位置),"タロットカードの世界において左側は過去。 右側は未来です。 白馬は未来に向 かって歩き、旗は風向きに逆らって未来に旗めいている。 白い馬が進む先の人 たちは皆生きていますが、 通り過ぎたあとの人は死んでいます。 そこには王様も。 これは、どんな人の未来にも平等に、 必ず死は訪れることを意味しています。 人 の世のことわりを表現するこのカードは、 実は永遠をも意味するのです。 終わりを 迎える、活動停止、 すっぱりと諦めたほうが得、別離や離婚を表します。
","再生 / 生まれ変わり仕切り直し 一度終わったことの復活 / 事態が動き出す
"
節制(逆位置),"大きな羽を左右に広げ、手に持った2つの聖杯に水を行き来させています。 片方 の足は大地に、もう片方は水面に。 すべての物事はバランスと調和から成り立つ ことを象徴しています。 対になる2つの杯の中身は男性性と女性性、陰と陽、火と 水、霊と肉、意識と無意識という相反する要素を象徴すると言われ、 翼のある人 物はそれらを結びつける 「仲介者」、 大天使ミカエルであると言われています。 穏やか 倹約、 けじめのある付き合い、 純愛という状態を表します。
","バランスが悪い /仲間内や家庭の不和/ 極端な状態 / 価値観の相違
"
悪魔(逆位置),"コウモリのような翼を広げた悪魔のもとには鎖につながれた裸体の男女。 二人の頭には角が生えかけ、 眷属とも人間の象徴とも取れます。 この二人の首をつなぐ 鎖はゆるめに垂れ下がり、簡単にふりほどけそうに見えます。 しかし、いつの世も 背徳の誘惑にはまってしまう者たちは、みずからその場を離れない、離れられな いということなのでしょうか。 このカードが出たときは、誘惑に弱い、 野心、 利己主 義、腐れ縁、 堕落した生活。 そんな状態を表します。
","短期的ビジネスチャンス / 解放 / 腐れ縁の解消 / 出口 / 怠惰な状態から抜け出す / 回復
"
塔(逆位置),"神に並ぶがごとく、人の手で高く積みあげられた塔。 おごりたかぶった人間に神 の鉄槌である雷が落とされています。 突然のできごとになすすべもなく落ちてゆ く人々。 逃げ惑う時間すら与えてはもらえないのです。
このカードが出たときは、 突然のトラブル、事故、 半強制的な変化、 隠された恋愛 の露見。 そんな状態を表します。
","急死に一生 / 浮気がバレる / 一番大事な物が残る / 崩壊一歩手前で踏みとどまる
"
星(逆位置),"水瓶を持った女神の上には、光り輝く大きな明けの明星。 星が指し示すものは希 望です。 ひときわ輝く星の周りに、さらに7つの星。 天地創造に費やした7日間 1 週間を構成する7日間。 7で完成する宇宙の周期、 それは、人が操ることのできな い生命エネルギーの周期を象徴しています。 ただ、 星ははるか遠くで輝くもので あることから、このカードは時間の経過を必要とする場合が多いとも。 新しい価 値観、 美、 理想の相手と巡り合う。 そんな状態を表します。
","現実の厳しさ / 人に恵まれない / 理想が高すぎる / マンネリ化する 目標が間違っている
"
月(逆位置),"月はたしかに存在するのに、 地球から見ると満ちたり欠けたりして見えます。普 遍のものが安心の象徴だとしたら、 変化する月に不安を感じるのは自然なこと。 夜にうごめく生き物たちが力を得るのは月の光から。 古代において犬は病気を、 ジャッカルは死を、 蠍は不吉をもたらす象徴だった時期があります。 でも、朝に なればその生き物たちも寝床に帰って姿を消すのです。 このカードは、不安や不 満、水面下で進む悪い状況、 人間関係の不和、偽りの愛を表します。
",ゆっくりと好転する /時間をかける恋愛 / 迷いが晴れる /徐々に現れる真相 / 長期型投資
太陽(逆位置),"燦々と輝く太陽に情熱の赤い旗を掲げ、 白い馬にまたがる元気な子ども。 ひまわ りもたくさん咲いています。 太陽には大きな人面。 赤い羽根を頭に乗せて赤い 旗を持つこの子どもは、錬金術においての 「賢者の石」 を指し示す説もあり、その 場合、この子はキリストという位置づけにも取れます。このカードが出たときは、 幸福、 恵まれた運命、 あふれる活気、 相思相愛、 子宝に 恵まれる。 そんな状態を表します。
",損失 / 陰性 / 病気 / 計画中止 /不人気/大喧嘩 / 失敗 結婚できない / 流産 / 家庭不和
審判(逆位置),"このカードは、良くも悪くも決断を意味することが多い。 同じことを繰り返して時 間を無駄にしている時。 チャンスをものにしようとしている時。 思い切った行動を するべき時。 天使が神々しくラッパを鳴らし 「今だよ!」と教えてくれるのです。 そ こに反応できない場合は、 容赦なく置いてけぼりをくらう厳しさをもひそんでいま す。 このカードは、復活する、 チャンスが訪れる、諦めていたことがもう一度日の目 を見る、目覚めるといった状態を表します。
",チャンスは来ない / 完全な終焉 / 決断ミス / 頓挫する / 助けはこない / よくない知らせ
世界(逆位置),"大アルカナの終着点は 「世界」。 月桂樹の輪を取り囲む四隅にはライオン・牛・ 天使・鷲 (火・地・風水) の四大元素が表記され、途切れることのない月桂樹の 輪の中にバトンを持った女性 (中性) 像。 次へのバトンを意味する輪廻とも言わ れています。 つまり、このカードは終わりではなく、 また次の高次元へのスタートで もあるのです。完成する、 満足する、 完璧になる、 幸運に恵まれる、完成を見る、目 的を達成できる、 病気が回復する。 そんな状態を表します。
",未完成 / 苦労が伴う恋愛や結婚/ 不妊症 / 家族との障害 / ワンランク上を目指すべき時